N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.8148617803702765,0.7848129422133184,0.7616290721207937,0.18536009445100354,0.717552648981461,0.26668973705594856
Model2,500,2,1,0.8034491503931017,0.7534896418125633,0.7709260142623838,0.29279811097992914,0.519072316778339,0.3498970191794404
Model3,500,3,1,0.8237382703525234,0.761077809050261,0.789307646921372,0.35182998819362454,0.46252401308200686,0.3930837671764419
Model4,500,1,2,0.8485924423028152,0.7950353947035199,0.8117819897901373,0.3305785123966942,0.5960302873686101,0.42270693994079844
Model5,500,2,2,0.8470707583058584,0.8274584205535553,0.8350017768650115,0.5430932703659976,0.5850309864703261,0.5599548776626778
Model6,500,3,2,0.8534111082931778,0.810073241200504,0.8205284544571455,0.3541912632821724,0.656973298878037,0.4587791953979826
Model7,800,1,2,0.8569617042860765,0.8092577766451755,0.8254998280407674,0.40731995277449823,0.5990647151201051,0.46819105080224044
Model8,800,2,2,0.87648998224702,0.8324271626934935,0.85186503389349,0.5230224321133412,0.6349806128443054,0.5666090440791524
Model9,800,3,2,0.8729393862541213,0.8321518747981207,0.8448025456553693,0.42621015348288077,0.6481518353680078,0.510406990893313
